时间,客运量当期值(万人),客运量累计值(万人),客运量同比增长(%),客运量累计增长(%),铁路客运量当期值(万人),铁路客运量累计值(万人),铁路客运量同比增长(%),铁路客运量累计增长(%),公路客运量当期值(万人),公路客运量累计值(万人),公路客运量同比增长(%),公路客运量累计增长(%),水运客运量当期值(万人),水运客运量累计值(万人),水运客运量同比增长(%),水运客运量累计增长(%),民航客运量当期值(万人),民航客运量累计值(万人),民航客运量同比增长(%),民航客运量累计增长(%)
2016年10月,168978,1609795,-1.3,-2.3,25001,240229,10.2,11,136928,1305488,-3.7,-4.8,2675,23314,3.7,0.1,4374,40765,12.9,11.4
2016年11月,145182,1754976,-1.4,-2.2,20409,260638,8.5,10.8,118784,1424271,-3.4,-4.7,2018,25332,1.6,0.2,3971,44735,13.6,11.6
2016年12月,,1919777,,-1.2,20768,281405,13.8,11,,1562510,,-3.5,,27086,,0.1,4041,48776,14.5,11.8
2017年1月,158298,158298,4.1,4.1,24756,24756,17,17,127398,127398,1.4,1.4,1751,1751,14.8,14.8,4393,4393,17.6,17.6
2017年2月,169843,328141,-3.3,0.1,25525,50281,5.9,11.1,137718,265116,-5.3,-2.2,2321,4072,4.3,8.6,4279,8672,9.8,13.6
2017年3月,150790,478931,-5.4,-1.7,22624,72905,6.5,9.6,121678,386794,-8,-4.1,2057,6129,2.7,6.6,4431,13103,13.8,13.7
2017年4月,151801,630732,-1.1,-1.5,26504,99409,11.1,10,118528,505322,-4,-4.1,2367,8496,5.8,6.3,4402,17505,10.7,12.9
2017年5月,154809,785540,0.8,-1.1,26397,125806,15.3,11.1,121334,626656,-2.4,-3.8,2580,11075,5.9,6.2,4498,22002,15.3,13.4
2017年6月,147328,932875,-2.2,-1.3,24077,149883,3.7,9.8,116395,743051,-4,-3.8,2482,13557,5.8,6.1,4374,26384,14.3,13.6
2017年7月,159482,1092356,-3.7,-1.6,29378,179261,9.5,9.8,122617,865667,-7.1,-4.3,2627,16184,5.6,6.1,4860,31244,11.4,13.2
2017年8月,160568,1252923,-4.4,-2,30692,209952,9.6,9.7,121789,987456,-8,-4.7,3041,19224,4.8,5.9,5046,36290,8.7,12.6
2017年9月,151328,1404251,-6.9,-2.5,24884,234836,4,9.1,119399,1106855,-9.5,-5.3,2390,21614,-3.5,4.7,4655,40945,11.5,12.5
2017年10月,161350,1565606,-4.5,-2.7,27621,262457,10.5,9.3,126184,1233039,-7.8,-5.5,2662,24277,-0.5,4.1,4883,45833,11.6,12.4
2017年11月,143222,1708827,-1.3,-2.6,22703,285160,11.2,9.4,113752,1346791,-4.2,-5.4,2121,26397,5.1,4.2,4646,50479,17,12.8
2017年12月,142152,1850992,-2.1,-2.6,23219,308379,11.8,9.6,112307,1459098,-5.2,-5.4,1961,28358,3.1,4.1,4666,55157,15.4,13
2018年1月,140457,140457,-11.3,-11.3,24564,24564,-0.8,-0.8,109657,109657,-13.9,-13.9,1589,1589,-9.3,-9.3,4647,4647,5.7,5.7
2018年2月,158733,299191,-6.5,-8.8,26081,50646,2.2,0.7,125604,235261,-8.8,-11.3,2205,3794,-5,-6.8,4843,9490,13.1,9.4
